epoch,loss_epoch,loss_step,step,val_CER,val_LER,val_SER
0,5.904397010803223,,26,,,
1,,4.751918315887451,49,,,
1,5.0515570640563965,,53,,,
2,4.5800299644470215,,80,,,
3,,3.949953079223633,99,,,
3,4.2896623611450195,,107,,,
4,,,134,91.03752899169922,100.0,171.27015686035156
4,3.9657821655273438,,134,,,
5,,3.478593587875366,149,,,
5,3.7044756412506104,,161,,,
6,3.6976304054260254,,188,,,
7,,3.2368812561035156,199,,,
7,3.451249599456787,,215,,,
8,3.4156711101531982,,242,,,
9,,3.1195614337921143,249,,,
9,,,269,90.94922637939453,100.0,170.46371459960938
9,3.4580211639404297,,269,,,
10,3.213926076889038,,296,,,
11,,3.6853935718536377,299,,,
11,3.241658926010132,,323,,,
12,,3.1767985820770264,349,,,
12,3.2396085262298584,,350,,,
13,3.1079769134521484,,377,,,
14,,3.2747809886932373,399,,,
14,,,404,88.56512451171875,97.91666412353516,169.4556427001953
14,3.0334534645080566,,404,,,
15,3.0264573097229004,,431,,,
16,,3.4007840156555176,449,,,
16,3.0378220081329346,,458,,,
17,3.106156826019287,,485,,,
18,,2.5347375869750977,499,,,
18,3.033799648284912,,512,,,
19,,,539,88.6534194946289,100.0,169.15322875976562
19,2.985811948776245,,539,,,
20,,3.416945457458496,549,,,
20,2.953594446182251,,566,,,
21,3.0526702404022217,,593,,,
22,,2.7087061405181885,599,,,
22,2.946442127227783,,620,,,
